id,mark,model,tariff,rent_cost
1429,Renault,Logan,эконом,1700
1430,Renault,Logan,эконом,1750
1431,Hyundai,Solaris,эконом,1300
1432,Chery,Tiggo 2,эконом,1450
1433,Renault,Logan,эконом,1750
1434,Fiat,Panda,эконом,1650
1435,Subaru,Outback,комфорт+,3500
1436,Volkswagen,Passat,комфорт+,3350
1437,Mazda,3,комфорт,1850
1438,Geely,MK,эконом,1800
1439,Geely,Emgrand,комфорт,1650
1440,Daewoo,Matiz,эконом,1650
1441,Kia,Rio,эконом,1800
1442,Datsun,on-DO,эконом,1350
1443,Geely,Emgrand,комфорт,1700
1444,Chery,Tiggo 2,эконом,1250
1445,Chevrolet,Spark,эконом,1600
1446,Mazda,6,комфорт+,2450
1447,Mazda,6,комфорт+,2700
1448,Kia,Optima,комфорт,1600
1449,Mazda,6,комфорт+,2950
1450,Mazda,6,комфорт+,2600
1451,Honda,Accord,комфорт+,2200
1452,Daewoo,Matiz,эконом,1450
1453,Mazda,3,комфорт,2150
1454,Suzuki,Alto,эконом,1400
1455,Lada,Granta,эконом,1700
1456,Chevrolet,Spark,эконом,1600
1457,Volkswagen,Polo,эконом,1350
1458,Hyundai,Solaris,эконом,1750
1459,Hyundai,Elantra,комфорт,2450
1460,Nissan,Qashqai,комфорт+,2050
1461,Fiat,Panda,эконом,1750
1462,Chery,Tiggo 2,эконом,1650
1463,Geely,MK,эконом,1550
1464,Suzuki,Alto,эконом,1450
1465,Hyundai,Elantra,комфорт,1900
1466,Lada,Granta,эконом,1800
1467,Citroen,C4,комфорт,1650
1468,Chery,Tiggo 2,эконом,1750
1469,Opel,Astra,комфорт,2000
1470,Skoda,Octavia,комфорт+,2900
1471,Renault,Logan,эконом,1500
1472,Toyota,Corolla,комфорт,1950
1473,Honda,Accord,комфорт+,2600
1474,Lada,Granta,эконом,1800
1475,Chevrolet,Spark,эконом,1250
1476,Geely,Emgrand,комфорт,1950
1477,Kia,Rio,эконом,1600
1478,Mazda,3,комфорт,1750
1479,Chery,Tiggo 2,эконом,1400
1480,Nissan,Qashqai,комфорт+,2700
1481,Hyundai,Solaris,эконом,1300
1482,Suzuki,Alto,эконом,1200
1483,Kia,Optima,комфорт,1950
1484,Chevrolet,Spark,эконом,1750
1485,Geely,MK,эконом,1250
1486,Lada,Granta,эконом,1500
1487,Chery,Tiggo 2,эконом,1500
1488,Suzuki,Alto,эконом,1650
1489,Suzuki,Alto,эконом,1600
1490,Volkswagen,Jetta,комфорт,2450
1491,Datsun,on-DO,эконом,1400
1492,Volkswagen,Polo,эконом,1800
1493,Honda,Accord,комфорт+,3500
1494,Volkswagen,Polo,эконом,1200
1495,Lada,Granta,эконом,1800
1496,Datsun,on-DO,эконом,1750
1497,Lada,Granta,эконом,1200
1498,Renault,Logan,эконом,1800
1499,Volkswagen,Jetta,комфорт,1950
1500,Peugeot,508,комфорт+,2400
1501,Lada,Granta,эконом,1600
1502,Renault,Logan,эконом,1250
1503,Ford,Mondeo,комфорт+,2600
1504,Chevrolet,Spark,эконом,1350
1505,Opel,Astra,комфорт,2100
1506,Lada,Granta,эконом,1200
1507,Renault,Logan,эконом,1800
1508,Honda,Accord,комфорт+,2550
1509,Opel,Astra,комфорт,2250
1510,Fiat,Panda,эконом,1350
1511,Fiat,Panda,эконом,1600
1512,Datsun,on-DO,эконом,1300
1513,Toyota,Camry,комфорт+,3450
1514,Chery,Tiggo 7,комфорт+,3100
1515,Suzuki,Alto,эконом,1300
1516,Opel,Astra,комфорт,2050
1517,Toyota,Corolla,комфорт,1950
1518,Datsun,on-DO,эконом,1500
1519,Chevrolet,Spark,эконом,1400
1520,Suzuki,Alto,эконом,1250
1521,Chery,Tiggo 2,эконом,1400
1522,Volkswagen,Jetta,комфорт,2500
1523,Volkswagen,Jetta,комфорт,2300
1524,Kia,Rio,эконом,1700
1525,Peugeot,508,комфорт+,3450
1526,Mazda,6,комфорт+,3100
1527,Volkswagen,Polo,эконом,1650
1528,Lada,Granta,эконом,1600
1529,Chery,Tiggo 2,эконом,1350
1530,Suzuki,Alto,эконом,1550
1531,Hyundai,Solaris,эконом,1400
1532,Peugeot,408,комфорт,2400
1533,Skoda,Octavia,комфорт+,3200
1534,Lada,Granta,эконом,1700
1535,Fiat,Panda,эконом,1400
1536,Mazda,3,комфорт,1600
1537,Chery,Tiggo 4,комфорт,1700
1538,Chevrolet,Spark,эконом,1600
1539,Honda,Civic,комфорт,2400
1540,Mitsubishi,Outlander,комфорт+,2000
1541,Chery,Tiggo 2,эконом,1800
1542,Peugeot,508,комфорт+,2100
1543,Volkswagen,Polo,эконом,1400
1544,Honda,Civic,комфорт,1900
1545,Skoda,Rapid,комфорт,1800
1546,Datsun,on-DO,эконом,1650
1547,Daewoo,Matiz,эконом,1800
1548,Fiat,Panda,эконом,1450
1549,Suzuki,Alto,эконом,1500
1550,Volkswagen,Polo,эконом,1800
1551,Datsun,on-DO,эконом,1500
1552,Peugeot,408,комфорт,2150
1553,Chery,Tiggo 2,эконом,1400
1554,Daewoo,Matiz,эконом,1400
1555,Peugeot,408,комфорт,2250
1556,Geely,Emgrand,комфорт,2200
1557,Mazda,3,комфорт,2250
1558,Nissan,Qashqai,комфорт+,2700
1559,Skoda,Octavia,комфорт+,3100
1560,Volkswagen,Passat,комфорт+,2250
1561,Renault,Logan,эконом,1700
1562,Ford,Mondeo,комфорт+,2650
1563,Fiat,Panda,эконом,1300
1564,Kia,Rio,эконом,1750
1565,Datsun,on-DO,эконом,1750
1566,Renault,Logan,эконом,1750
1567,Volkswagen,Polo,эконом,1650
1568,Datsun,on-DO,эконом,1350
1569,Toyota,Corolla,комфорт,2400
1570,Kia,Rio,эконом,1450
1571,Volkswagen,Jetta,комфорт,1650
1572,Mazda,3,комфорт,1800
1573,Subaru,Outback,комфорт+,2000
1574,Volkswagen,Jetta,комфорт,1600
1575,Ford,Mondeo,комфорт+,2950
1576,Suzuki,Alto,эконом,1400
1577,Renault,Logan,эконом,1600
1578,Chery,Tiggo 4,комфорт,2450
1579,Kia,Rio,эконом,1550
1580,Chery,Tiggo 2,эконом,1350
1581,Chevrolet,Spark,эконом,1800
1582,Geely,Atlas,комфорт+,3350
1583,Geely,Atlas,комфорт+,2250
1584,Skoda,Octavia,комфорт+,2450
1585,Chery,Tiggo 2,эконом,1200
1586,Subaru,Outback,комфорт+,2150
1587,Chery,Tiggo 4,комфорт,1900
1588,Datsun,on-DO,эконом,1750
1589,Mazda,3,комфорт,1900
1590,Mazda,6,комфорт+,2450
1591,Chevrolet,Spark,эконом,1400
1592,Geely,Atlas,комфорт+,2400
1593,Daewoo,Matiz,эконом,1350
1594,Chevrolet,Spark,эконом,1350
1595,Honda,Accord,комфорт+,2150
1596,Daewoo,Matiz,эконом,1350
1597,Renault,Logan,эконом,1200
1598,Renault,Logan,эконом,1350
1599,Hyundai,Elantra,комфорт,1700
1600,Kia,Rio,эконом,1350
1601,Chevrolet,Spark,эконом,1450
1602,Hyundai,Solaris,эконом,1550
1603,Kia,Rio,эконом,1400
1604,Fiat,Panda,эконом,1650
1605,Geely,MK,эконом,1700
1606,Mazda,3,комфорт,1800
1607,Geely,MK,эконом,1300
1608,Datsun,on-DO,эконом,1450
1609,Volkswagen,Polo,эконом,1350
1610,Mazda,6,комфорт+,2000
1611,Kia,Rio,эконом,1200
1612,Hyundai,Solaris,эконом,1700
1613,Suzuki,Alto,эконом,1250
1614,Datsun,on-DO,эконом,1750
1615,Suzuki,Alto,эконом,1400
1616,Chevrolet,Spark,эконом,1350
1617,Chery,Tiggo 2,эконом,1550
1618,Datsun,on-DO,эконом,1350
1619,Skoda,Octavia,комфорт+,3300
1620,Lada,Granta,эконом,1400
1621,Toyota,Camry,комфорт+,2350
1622,Volkswagen,Jetta,комфорт,1900
1623,Datsun,on-DO,эконом,1250
1624,Volkswagen,Polo,эконом,1750
1625,Volkswagen,Polo,эконом,1200
1626,Daewoo,Matiz,эконом,1550
1627,Skoda,Octavia,комфорт+,3150
1628,Suzuki,Alto,эконом,1400
1629,Chevrolet,Spark,эконом,1800
1630,Geely,Atlas,комфорт+,3250
1631,Honda,Accord,комфорт+,3000
1632,Chery,Tiggo 7,комфорт+,2200
1633,Mazda,6,комфорт+,2200
1634,Kia,Optima,комфорт,1700
1635,Fiat,Panda,эконом,1750
1636,Geely,MK,эконом,1450
1637,Toyota,Camry,комфорт+,3050
1638,Volkswagen,Passat,комфорт+,3050
1639,Fiat,Panda,эконом,1750
1640,Hyundai,Solaris,эконом,1550
1641,Daewoo,Matiz,эконом,1350
1642,Mitsubishi,Outlander,комфорт+,2950
1643,Mitsubishi,Outlander,комфорт+,2850
1644,Datsun,on-DO,эконом,1350
1645,Mazda,6,комфорт+,2700
1646,Hyundai,Elantra,комфорт,2350
1647,Kia,Rio,эконом,1450
1648,Chery,Tiggo 4,комфорт,1600
1649,Ford,Mondeo,комфорт+,2450
1650,Volkswagen,Passat,комфорт+,2700
1651,Volkswagen,Polo,эконом,1300
1652,Lada,Granta,эконом,1200
1653,Geely,MK,эконом,1300
1654,Volkswagen,Polo,эконом,1500
1655,Mazda,3,комфорт,2400
1656,Chery,Tiggo 2,эконом,1350
1657,Renault,Logan,эконом,1250
1658,Volkswagen,Polo,эконом,1800
1659,Mitsubishi,Outlander,комфорт+,3200
1660,Nissan,Qashqai,комфорт+,3200
1661,Volkswagen,Polo,эконом,1550
1662,Volkswagen,Polo,эконом,1300
1663,Geely,Atlas,комфорт+,2600
1664,Skoda,Octavia,комфорт+,2450
1665,Renault,Logan,эконом,1500
1666,Datsun,on-DO,эконом,1350
1667,Daewoo,Matiz,эконом,1350
1668,Honda,Accord,комфорт+,3300
1669,Hyundai,Solaris,эконом,1750
1670,Hyundai,Solaris,эконом,1450
1671,Lada,Granta,эконом,1750
1672,Volkswagen,Jetta,комфорт,2200
1673,Datsun,on-DO,эконом,1700
1674,Skoda,Octavia,комфорт+,3250
1675,Mazda,6,комфорт+,3500
1676,Honda,Accord,комфорт+,2750
1677,Subaru,Outback,комфорт+,2550
1678,Kia,Optima,комфорт,1800
1679,Suzuki,Alto,эконом,1750
1680,Geely,MK,эконом,1300
1681,Honda,Civic,комфорт,2200
1682,Toyota,Corolla,комфорт,2000
1683,Chery,Tiggo 4,комфорт,1850
1684,Geely,Atlas,комфорт+,3250
1685,Chery,Tiggo 2,эконом,1350
1686,Suzuki,Alto,эконом,1250
1687,Chery,Tiggo 2,эконом,1450
1688,Citroen,C4,комфорт,1600
1689,Lada,Granta,эконом,1350
1690,Volkswagen,Jetta,комфорт,2050
1691,Chery,Tiggo 2,эконом,1600
1692,Hyundai,Solaris,эконом,1350
1693,Geely,MK,эконом,1750
1694,Hyundai,Solaris,эконом,1400
1695,Kia,Rio,эконом,1450
1696,Geely,MK,эконом,1400
1697,Peugeot,508,комфорт+,2400
1698,Renault,Logan,эконом,1200
1699,Nissan,Qashqai,комфорт+,2400
1700,Geely,Atlas,комфорт+,3400
1701,Volkswagen,Polo,эконом,1800
1702,Chevrolet,Spark,эконом,1300
1703,Daewoo,Matiz,эконом,1250
1704,Datsun,on-DO,эконом,1600
1705,Peugeot,508,комфорт+,3000
1706,Toyota,Camry,комфорт+,2250
1707,Datsun,on-DO,эконом,1750
1708,Geely,MK,эконом,1300
1709,Skoda,Rapid,комфорт,1700
1710,Peugeot,408,комфорт,1600
1711,Geely,MK,эконом,1600
1712,Geely,MK,эконом,1400
1713,Kia,Optima,комфорт,1850
1714,Chevrolet,Spark,эконом,1600
1715,Chevrolet,Spark,эконом,1450
1716,Geely,MK,эконом,1600
1717,Honda,Accord,комфорт+,2400
1718,Chery,Tiggo 2,эконом,1550
1719,Toyota,Corolla,комфорт,1750
1720,Mitsubishi,Outlander,комфорт+,2950
1721,Chevrolet,Spark,эконом,1750
1722,Honda,Accord,комфорт+,2650
1723,Geely,MK,эконом,1700
1724,Geely,MK,эконом,1450
1725,Daewoo,Matiz,эконом,1200
1726,Hyundai,Solaris,эконом,1400
1727,Peugeot,408,комфорт,2300
1728,Peugeot,408,комфорт,1650
1729,Hyundai,Elantra,комфорт,2250
1730,Nissan,Qashqai,комфорт+,2400
1731,Skoda,Octavia,комфорт+,2300
1732,Lada,Granta,эконом,1350
1733,Toyota,Corolla,комфорт,1650
1734,Chery,Tiggo 2,эконом,1200
1735,Lada,Granta,эконом,1500
1736,Datsun,on-DO,эконом,1200
1737,Suzuki,Alto,эконом,1300
1738,Hyundai,Solaris,эконом,1450
1739,Suzuki,Alto,эконом,1500
1740,Daewoo,Matiz,эконом,1550
1741,Hyundai,Solaris,эконом,1500
1742,Peugeot,408,комфорт,2200
1743,Datsun,on-DO,эконом,1400
1744,Kia,Optima,комфорт,1600
1745,Fiat,Panda,эконом,1450
1746,Mazda,3,комфорт,2350
1747,Datsun,on-DO,эконом,1500
1748,Chevrolet,Spark,эконом,1800
1749,Peugeot,408,комфорт,2200
1750,Toyota,Corolla,комфорт,2250
1751,Geely,Atlas,комфорт+,2500
1752,Daewoo,Matiz,эконом,1300
1753,Datsun,on-DO,эконом,1600
1754,Nissan,Qashqai,комфорт+,3300
1755,Kia,Rio,эконом,1700
1756,Volkswagen,Jetta,комфорт,2400
1757,Honda,Civic,комфорт,2250
1758,Peugeot,408,комфорт,1950
1759,Daewoo,Matiz,эконом,1550
1760,Hyundai,Solaris,эконом,1800
1761,Daewoo,Matiz,эконом,1250
1762,Lada,Granta,эконом,1400
1763,Opel,Astra,комфорт,2200
1764,Renault,Logan,эконом,1600
1765,Kia,Rio,эконом,1350
1766,Volkswagen,Polo,эконом,1600
1767,Kia,Optima,комфорт,1900
1768,Fiat,Panda,эконом,1400
1769,Ford,Mondeo,комфорт+,3500
1770,Fiat,Panda,эконом,1650
1771,Renault,Logan,эконом,1350
1772,Opel,Astra,комфорт,1600
1773,Geely,MK,эконом,1750
1774,Hyundai,Solaris,эконом,1750
1775,Honda,Accord,комфорт+,2600
1776,Suzuki,Alto,эконом,1800
1777,Nissan,Qashqai,комфорт+,3350
1778,Mazda,6,комфорт+,2200
1779,Volkswagen,Polo,эконом,1450
1780,Daewoo,Matiz,эконом,1700
1781,Mazda,6,комфорт+,3250
1782,Geely,MK,эконом,1550
1783,Volkswagen,Polo,эконом,1200
1784,Lada,Granta,эконом,1600
1785,Skoda,Octavia,комфорт+,2850
1786,Chery,Tiggo 2,эконом,1300
1787,Volkswagen,Polo,эконом,1550
1788,Kia,Optima,комфорт,2400
1789,Geely,MK,эконом,1650
1790,Honda,Accord,комфорт+,2200
1791,Kia,Rio,эконом,1500
1792,Lada,Granta,эконом,1400
1793,Chery,Tiggo 7,комфорт+,3250
1794,Toyota,Camry,комфорт+,2100
1795,Mazda,3,комфорт,2400
1796,Toyota,Camry,комфорт+,2100
1797,Chevrolet,Spark,эконом,1800
1798,Honda,Civic,комфорт,2000
1799,Citroen,C4,комфорт,1650
1800,Geely,MK,эконом,1650
1801,Chevrolet,Spark,эконом,1200
1802,Renault,Logan,эконом,1450
1803,Kia,Rio,эконом,1750
1804,Honda,Accord,комфорт+,3050
1805,Lada,Granta,эконом,1750
1806,Geely,MK,эконом,1250
1807,Chery,Tiggo 4,комфорт,2500
1808,Datsun,on-DO,эконом,1450
1809,Renault,Logan,эконом,1700
1810,Lada,Granta,эконом,1700
1811,Peugeot,508,комфорт+,3400
1812,Chery,Tiggo 2,эконом,1750
1813,Kia,Rio,эконом,1650
